Tissue	Module	Symbol	is.hub
Muscle	M10	C3orf38	no
Muscle	M10	C4orf41	no
Muscle	M10	C5orf24	no
Muscle	M10	C5orf44	no
Muscle	M10	C6orf173	no
Muscle	M10	C6orf204	no
Muscle	M10	C6orf211	no
Muscle	M10	C6orf89	no
Muscle	M10	C7orf70	no
Muscle	M10	C8orf33	no
Muscle	M10	C9orf24	no
Muscle	M10	C9orf41	no
Muscle	M10	CACNA2D1	no
Muscle	M10	CACNA2D2	no
Muscle	M10	CAD	no
Muscle	M10	CAPN7	no
Muscle	M10	CAPRIN1	no
Muscle	M10	CAPS2	no
Muscle	M10	CASD1	no
Muscle	M10	CASK	no
Muscle	M10	CCDC117	no
Muscle	M10	CCDC121	no
Muscle	M10	CCDC147	no
Muscle	M10	CCDC18	no
Muscle	M10	CCDC58	no
Muscle	M10	CCDC76	no
Muscle	M10	CCNC	no
Muscle	M10	CD46	no
Muscle	M10	CDC14A	no
Muscle	M10	CDC42EP2	no
Muscle	M10	CDK2AP2	no
Muscle	M10	CDK8	no
Muscle	M10	CDKAL1	no
Muscle	M10	CDKN1C	no
Muscle	M10	CDKN2AIP	no
Muscle	M10	CEP120	no
Muscle	M10	CEP170	no
Muscle	M10	CEP350	no
Muscle	M10	CFL2	yes
Muscle	M10	CHD2	no
Muscle	M10	CHMP4A	no
Muscle	M10	CICE	no
Muscle	M10	CLCN4	no
Muscle	M10	CLIP4	no
Muscle	M10	CLK1	yes
Muscle	M10	CLK4	yes
Muscle	M10	CNBP	no
Muscle	M10	CNNM4	no
Muscle	M10	CNOT7	yes
Muscle	M10	CNPY2	no
Muscle	M10	CPEB4	no
Muscle	M10	CPSF6	no
Muscle	M10	CRSP9	no
Muscle	M10	CSDE1	yes
Muscle	M10	CSGALNACT2	no
Muscle	M10	CSPP1	no
Muscle	M10	CTBP2	no
Muscle	M10	CUGBP1	no
Muscle	M10	CUL4B	no
Muscle	M10	CWF19L2	no
Muscle	M10	CYB5R4	no
Muscle	M10	CYP20A1	no
Muscle	M10	CYTH3	no
Muscle	M10	DAB2IP	no
Muscle	M10	DAZAP2	no
Muscle	M10	DBR1	no
Muscle	M10	DCK	no
Muscle	M10	DDX19B	no
Muscle	M10	DEPDC6	no
Muscle	M10	DEPDC7	no
Muscle	M10	DGUOK	no
Muscle	M10	DHRS3	no
Muscle	M10	DHX9	no
Muscle	M10	DIAPH2	no
Muscle	M10	DICER1	no
Muscle	M10	DKFZP564O0523	no
Muscle	M10	DUSP23	no
Muscle	M10	DYM	no
Muscle	M10	DYNC1I2	no
Muscle	M10	DYRK1A	no
Muscle	M10	E2F3	no
Muscle	M10	ECOP	no
Muscle	M10	EDEM1	no
Muscle	M10	EEA1	no
Muscle	M10	EFCAB4A	no
Muscle	M10	EFHC1	no
Muscle	M10	EGLN1	no
Muscle	M10	EID2	no
Muscle	M10	EIF2C2	no
Muscle	M10	EIF2S1	no
Muscle	M10	EIF3CL	no
Muscle	M10	EIF4A3	no
Muscle	M10	EIF4E3	no
Muscle	M10	ELP2	no
Muscle	M10	ENPP4	no
Muscle	M10	ENSA	no
Muscle	M10	EPC1	no
Muscle	M10	ERBB2IP	no
Muscle	M10	ERH	no
Muscle	M10	ERI2	no
Muscle	M10	ETNK1	no
Muscle	M10	EYA4	no
Muscle	M10	FAHD2A	no
Muscle	M10	FAM108B1	no
Muscle	M10	FAM10A4	no
Muscle	M10	FAM10A7	yes
Muscle	M10	FAM126A	no
Muscle	M10	FAM161A	no
Muscle	M10	FAM174A	no
Muscle	M10	FAM18B	no
Muscle	M10	FAM190B	no
Muscle	M10	FAM21A	no
Muscle	M10	FAM21C	no
Muscle	M10	FAM3C	no
Muscle	M10	FAM43A	no
Muscle	M10	FAM65A	no
Muscle	M10	FAM82B	no
Muscle	M10	FAM8A1	no
Muscle	M10	FASTKD2	no
Muscle	M10	FBXL17	no
Muscle	M10	FBXL3	no
Muscle	M10	FBXL5	no
