row	col	weight
X34400	X34395	0.822974823120443
X52682	X52478	0.822868473621714
X62558	X62562	0.822849235569646
X57520	X57519	0.822732765848922
X42382	X46972	0.82272524289498
X18392	X46645	0.822694941482404
X34534	X33936	0.822160922088729
X62798	X47076	0.822142261652877
X63072	X47076	0.821972095075279
X569	X18394	0.821787367013406
X32980	X35718	0.82175333959588
X32504	X33969	0.82145604347705
X17805	X32504	0.821415403706078
X46488	X46607	0.820915357936237
X32346	X18476	0.820806052857966
X46798	X54967	0.820010674687499
X52501	X52502	0.819866317246848
X37529	X19503	0.818672544243773
X1585	X37076	0.818202859370231
X54956	X54960	0.818139537466983
X35305	X19324	0.817779284253391
X48841	X36103	0.817629496735899
X52615	X19503	0.817618693540548
X63436	X63683	0.816939733803074
X62152	X47154	0.81657604333785
X32980	X32504	0.816303562670582
X33955	X42398	0.816045026673308
X31675	X43591	0.813778650608262
X34400	X34389	0.813613114480047
X33935	X62296	0.813471117864563
X15122	X34035	0.813200728481007
X63660	X63658	0.812893530873784
X62860	X47101	0.812753347789283
X57440	X57372	0.81237613502039
X48492	X47153	0.812231933598479
X61769	X34534	0.811758215157565
X35635	X39600	0.811746900963651
X34404	X18254	0.811714539531169
X62954	X62860	0.81133238628749
X52433	X42463	0.81077333183283
X45951	X36600	0.810752081340564
X32391	X34389	0.810554678328543
X52984	X63657	0.810241044906048
X62915	X47014	0.810226749755516
X52929	X49557	0.809715139053468
X37183	X31591	0.809211674536156
X32980	X37478	0.809202959233683
X37198	X37196	0.809200208138058
X54969	X46798	0.809122844151406
X38768	X38296	0.808959748153172
X34395	X18254	0.808953748900551
X62286	X42381	0.808921652899861
X38178	X61775	0.808755517872405
X22036	X46695	0.808222212297016
X57477	X52437	0.808215761138336
X2125	X63853	0.808203522078348
X63	X47153	0.808128632230676
X52447	X52446	0.808033771333363
X46347	X52280	0.808022406529892
X38116	X46611	0.807957666569203
X33935	X62295	0.807802926563614
X1121	X1356	0.806880509896195
X57475	X52435	0.80638851262578
X46144	X49704	0.806290933271174
X48490	X52436	0.805253562938923
X52925	X35126	0.80467951569027
X57635	X57637	0.804541866655355
X32415	X52285	0.803858308829279
X38276	X39603	0.803791133502783
X48990	X62636	0.80377100815452
X53230	X22001	0.803039579481572
X48258	X33955	0.802771667678177
X33941	X32328	0.802090929465504
X18368	X62103	0.802048683526898
X18467	X33969	0.801174373494133
X57440	X57443	0.801131859495041
X15122	X57652	0.801083461554697
X2137	X46603	0.800534115130863
X18280	X33384	0.800422103609001
X18369	X60	0.799846168145658
X63254	X62954	0.799814953806736
X38116	X46507	0.79948315125864
X32457	X62850	0.799290901034376
X37192	X33973	0.799242624284983
X2137	X46914	0.798801270843161
X37198	X37480	0.798644853582374
X48492	X52435	0.798580347859521
X62145	X62146	0.798506352850293
X35718	X32417	0.798502086322055
X63657	X63660	0.797754619343215
X54956	X54961	0.797727990886529
X52475	X52614	0.797697199553583
X52677	X52614	0.795998399580534
X57475	X19503	0.795964777609285
X62862	X62860	0.795848355002824
X1414	X42382	0.795833052146758
X33972	X35718	0.795771088250926
X57520	X35160	0.795551818444962
X15122	X1105	0.795458985527247
X43343	X63120	0.795283309787548
X19258	X52470	0.795273562863636
X21132	X31536	0.795267850674505
X60	X1649	0.795235364844636
X48258	X33230	0.795076137231581
X33972	X32417	0.79444498383797
X1336	X1361	0.793867524227193
X34534	X61775	0.793186315241948
X33971	X1361	0.7930013370698
X37480	X40708	0.792911383435257
X32425	X32619	0.792766138347492
X62558	X62559	0.792663981421138
X52984	X47014	0.792094832208567
X52713	X52716	0.791957671230036
X52673	X52477	0.79193133093803
X61840	X53223	0.791739772061597
X34419	X36600	0.79171596201138
X52478	X52713	0.791691374498763
X46799	X54967	0.791141966645257
X32586	X2137	0.79086890860006
X52464	X52446	0.790778896106848
X62062	X37431	0.790597975894623
X63660	X47642	0.790457328782699
X38102	X38165	0.790145553551274
X43264	X52984	0.789431422267127
X32619	X62922	0.789250004763037
X45951	X48258	0.789219754401531
X62062	X34384	0.788889168326889
X52433	X52615	0.788597922469417
X47101	X47690	0.788344501050352
X46602	X46657	0.788200870352701
X34390	X18392	0.78814811017239
X1516	X52779	0.787894433528053
X48047	X47006	0.787818254849452
X57652	X52285	0.787747083616845
X43264	X542	0.787531359170796
X52475	X52748	0.787187279636415
X32620	X36850	0.786876895501313
X52616	X63	0.786854908513452
X61866	X62919	0.786591390716067
X55072	X57461	0.786259281287092
X2137	X54877	0.78621643852238
X46707	X46709	0.785959897412516
X48258	X42398	0.785763630856433
X52495	X57480	0.785219336380119
X46390	X46594	0.785179788753514
X63152	X33013	0.784577296736227
X18349	X52906	0.784496552937842
X44675	X32504	0.783403839269513
X52461	X52470	0.783382339515399
X37209	X31591	0.783272481844652
X52697	X52610	0.783220861754647
X52984	X47642	0.782920549015088
X33972	X1356	0.78269033127718
X34400	X569	0.782383005254379
X44877	X54979	0.781767784103301
X57519	X34409	0.78147850255057
X52433	X57483	0.780987085344722
X52474	X33955	0.780834809838383
X36103	X35126	0.780805746437621
X53195	X19258	0.780274417664958
X37183	X37186	0.780053042860038
X52603	X53176	0.779773220665535
X35126	X52852	0.779267687642407
X27513	X42087	0.77838666475548
X542	X54907	0.778176522478967
X34419	X48258	0.778048313360219
X34404	X34400	0.777652003472806
X63120	X46695	0.777563233960561
X39609	X62915	0.777232135273582
X32445	X18392	0.777081828262621
X37211	X32425	0.776803847677981
X38296	X33972	0.776514676532729
X15140	X47687	0.776502404586466
X15730	X46960	0.776391458939744
X39592	X43378	0.776130327551526
X33968	X1642	0.77588815468811
X37202	X37210	0.775807555671852
X52461	X52438	0.775629068709543
X52983	X52982	0.775297968830331
X48492	X63	0.775173814682986
X46602	X47671	0.775015773089595
X1125	X60	0.774220810412084
X41494	X43239	0.774093385931393
X62796	X46165	0.773884095381953
X22001	X48048	0.773703152162244
X31943	X63660	0.773538164805374
X46683	X46363	0.773381790906447
X396	X52286	0.773373543380496
X62873	X62850	0.773360491499102
X33230	X52470	0.773167429131104
X21025	X57776	0.773016360240317
X52697	X52611	0.772759689029977
X62152	X52433	0.77274968092488
X52465	X52447	0.772618989145215
X32980	X1110	0.772558981114328
X43264	X1549	0.772467374757796
X48763	X43424	0.772105668621081
X46390	X57718	0.771471079685924
X62566	X62562	0.771432551646721
X37455	X15990	0.77139736043418
X32328	X34534	0.770961813728652
X52462	X42450	0.770364338789818
X39831	X62923	0.770301298672173
X46390	X46384	0.76981413126275
X31675	X48187	0.769720175640617
X52477	X52475	0.769700347570021
X27665	X40469	0.769275211312562
X34397	X27447	0.769160743878059
X31943	X48048	0.769012633268301
X34395	X34424	0.768595163116803
X57365	X42463	0.767651513263395
X52716	X47153	0.767418956986989
X32504	X18467	0.767226465938975
X45951	X34419	0.767187647103779
X63152	X43591	0.767131349704565
X33950	X32390	0.766016061772974
X542	X63660	0.765859909085797
X42087	X1584	0.765836923789432
X61785	X61798	0.765502953449045
X37200	X46172	0.765488650598782
X52605	X34445	0.764088600265356
X38296	X1121	0.764059289889038
X46390	X46595	0.763825884593599
X62873	X46674	0.763637538991167
X49512	X57754	0.763637353785456
X32328	X48182	0.762845863362608
X52687	X42449	0.762675315388886
X33961	X42398	0.762452837992547
X52916	X46594	0.762269084529053
X52975	X62889	0.762108310613311
X62915	X32426	0.761414341668385
X37076	X2829	0.761050366769054
X52689	X52475	0.761023497523697
X43264	X63660	0.760601251265883
X61769	X33941	0.760581029896958
X46633	X48009	0.760210255781284
X19263	X52447	0.75986251771003
X22185	X57776	0.759722566218639
X42446	X52452	0.759623130876653
X32425	X52865	0.759558352532942
X57331	X57473	0.759444926941118
X46390	X46709	0.759344106589033
X63152	X39603	0.759034000137208
X63657	X63658	0.75901906466707
X34397	X32506	0.757615807056695
X35678	X36754	0.756583441899178
X19266	X32506	0.756283634718049
X62923	X46707	0.756152546769323
X46690	X63592	0.755174413253969
X52464	X52465	0.755152921851945
X63357	X18362	0.754464153282242
X32457	X33968	0.75432473851424
X52687	X42448	0.75382461348439
X43264	X47014	0.753475991457216
X52925	X52852	0.753150060370363
X43264	X52281	0.753017291954471
X33230	X47118	0.752395679543533
X34214	X36594	0.752307035609831
X52984	X62557	0.751979564646224
X32197	X22130	0.751620629091176
X52447	X52466	0.751098764098554
X52616	X52438	0.750797948117947
X48885	X15772	0.750566058948796
X52281	X1549	0.750339554966186
X52716	X52437	0.750213518002892
X39609	X31943	0.749813032591487
X52682	X52716	0.749649977646486
X22053	X62850	0.749346285779836
X48491	X48493	0.749223599837328
X63657	X47642	0.749193126139563
X33228	X33955	0.748678448810333
X63	X57330	0.748600734869318
X1589	X37076	0.748306658000551
X57521	X57520	0.748083099093374
X57440	X48490	0.747607371645882
X48258	X35628	0.747281335527187
X46657	X46683	0.74697034289697
X42489	X46695	0.746530269827281
X1585	X2829	0.74652840061125
X63072	X32401	0.746044020082647
X63436	X62850	0.745934620183151
X1572	X52661	0.745924020276672
X18476	X18497	0.745873986704951
X47671	X46363	0.745703049336452
X19130	X52616	0.745689444804784
X38276	X63152	0.745576654907558
X33228	X33961	0.745122237696938
X32388	X35669	0.745023078722516
X57636	X57637	0.744546261011551
X37186	X37209	0.744178630767394
X55041	X52447	0.744149387942864
X62796	X36845	0.744116011010688
X21025	X52779	0.743989134482382
X63	X52434	0.743967611445019
X37529	X57474	0.743958772628238
X32346	X18494	0.74381889017897
X1110	X44675	0.743705378857469
X57776	X1516	0.743200881586981
X52682	X52748	0.7431900266623
X46594	X46384	0.742999629279173
X43343	X22036	0.742984897145731
X44526	X15676	0.742702851014723
X54907	X47014	0.742571362106356
X542	X47014	0.742311601393195
X33955	X35631	0.742238759277581
X47153	X57482	0.742235218835578
X35186	X42398	0.74214936781847
X1642	X32418	0.742096974788631
X15753	X54695	0.742074964493275
X31943	X32398	0.741810081407696
X33950	X33959	0.741367605331717
X32328	X33952	0.741333958160002
X45951	X33230	0.740848433183286
X63436	X33968	0.740843395522391
X57477	X52435	0.740680065873974
X34456	X1125	0.740224965371524
X63650	X62145	0.739773217015603
X542	X31943	0.739367713395832
X62068	X34384	0.739178874203072
X62287	X42381	0.739127468456283
X37203	X32562	0.738828253823699
X18349	X22130	0.73823216797116
X46707	X46384	0.738201893096119
X34397	X48341	0.737931687478868
X63685	X62918	0.737569502009344
X48698	X43374	0.73729504472405
X48841	X52025	0.737245906348205
X52984	X63658	0.737240781385807
X62559	X62566	0.736083660793105
X35186	X35628	0.735897240300063
X62287	X62286	0.735784895854736
X43591	X48187	0.735774608562025
X52673	X52614	0.735151715506959
X542	X33963	0.734774253861835
X35126	X52025	0.734187896347884
X52616	X52452	0.733954870545275
X57512	X34409	0.733595313475041
X33942	X33943	0.733484947871011
X42398	X41220	0.732595582465973
X37192	X39603	0.732357899963915
X44675	X33969	0.732240654415501
X46973	X46295	0.732203715413517
X52975	X52982	0.731760035443143
X15676	X1125	0.731528101559155
X57440	X54979	0.731149189481262
X37203	X46409	0.730997667637259
X32457	X63683	0.730948157359763
X62862	X47101	0.730441695916199
X46905	X47006	0.729561632021739
X37203	X46515	0.729510513185957
X48990	X46632	0.729482401288664
X57745	X35126	0.729387769762323
X46223	X35160	0.729008759749736
X57520	X46223	0.728921905220797
X47120	X32418	0.72887534113464
X35675	X17945	0.72819951811691
X57518	X57520	0.728087559831613
X52437	X52436	0.727648720444988
X1572	X27738	0.727504611784419
X39603	X33013	0.727501959920923
X46115	X37203	0.727090385150371
X32425	X62922	0.726289439119564
X62533	X62796	0.726233737052968
X15677	X43256	0.725932818324797
X52615	X52435	0.725220017089599
X38276	X31675	0.724725252026162
X47136	X43239	0.72471492620672
X63658	X47014	0.724678447614705
X37482	X46115	0.724621469549543
X35718	X33969	0.724426335891529
X52478	X52437	0.724178472947294
X22001	X46398	0.723774497925276
X57443	X57372	0.723689416952287
X52608	X38165	0.723348000821561
X42382	X53127	0.723311848182356
X62798	X63853	0.72294823390779
X46681	X46384	0.722445411951321
X27447	X21184	0.722382429823628
X18476	X18494	0.722364184098988
X62851	X37506	0.722313593054989
X52932	X55017	0.722196057042692
X62889	X36850	0.722191131522855
X39609	X35669	0.722100999422512
X33364	X1284	0.721992080138593
X46960	X47993	0.721968412120101
X15677	X35651	0.721577691561296
X54961	X52634	0.720994669741403
X42374	X37092	0.720750649536017
X52474	X33961	0.720620491724308
X57519	X44681	0.720074512902881
X27672	X43374	0.719892590407318
