Tissue	Module	Symbol	is.hub
Adipose	M10	ANKRD49	no
Adipose	M10	ANKS1A	no
Adipose	M10	ANP32B	no
Adipose	M10	ANXA2P1	yes
Adipose	M10	ANXA2P3	no
Adipose	M10	ANXA3	no
Adipose	M10	ANXA4	no
Adipose	M10	ANXA6	no
Adipose	M10	AOC3	no
Adipose	M10	AOX1	no
Adipose	M10	AP1G1	yes
Adipose	M10	AP1GBP1	no
Adipose	M10	AP2B1	no
Adipose	M10	AP3D1	no
Adipose	M10	AP3M1	no
Adipose	M10	APBB2	no
Adipose	M10	APH1A	yes
Adipose	M10	APITD1	no
Adipose	M10	APP	no
Adipose	M10	APPL2	no
Adipose	M10	AQR	no
Adipose	M10	ARFIP1	no
Adipose	M10	ARHGAP11A	no
Adipose	M10	ARHGAP18	no
Adipose	M10	ARHGAP28	no
Adipose	M10	ARHGAP29	no
Adipose	M10	ARHGEF5L	no
Adipose	M10	ARID2	no
Adipose	M10	ARID5B	no
Adipose	M10	ARL5A	no
Adipose	M10	ARL6	no
Adipose	M10	ARL6IP1	no
Adipose	M10	ARMC8	yes
Adipose	M10	ARMCX1	no
Adipose	M10	ARPC1A	no
Adipose	M10	ARPC3	no
Adipose	M10	ARPC5	yes
Adipose	M10	ARPP.21	no
Adipose	M10	ARPP19	no
Adipose	M10	ARSD	no
Adipose	M10	ARSG	no
Adipose	M10	ARVCF	no
Adipose	M10	AS3MT	no
Adipose	M10	ASB13	no
Adipose	M10	ASB3	no
Adipose	M10	ASB9	no
Adipose	M10	ASH2L	no
Adipose	M10	ASNSD1	no
Adipose	M10	ASPH	yes
Adipose	M10	ASS1	no
Adipose	M10	ATF1	no
Adipose	M10	ATF2	no
Adipose	M10	ATF7IP2	no
Adipose	M10	ATG16L2	no
Adipose	M10	ATG2B	no
Adipose	M10	ATG4B	no
Adipose	M10	ATG5	no
Adipose	M10	ATL1	no
Adipose	M10	ATMIN	no
Adipose	M10	ATOH7	no
Adipose	M10	ATOX1	no
Adipose	M10	ATP11C	no
Adipose	M10	ATP1B3	no
Adipose	M10	ATP2B1	no
Adipose	M10	ATP5C1	yes
Adipose	M10	ATP5L	yes
Adipose	M10	ATP5S	no
Adipose	M10	ATP5SL	no
Adipose	M10	ATP6AP1L	no
Adipose	M10	ATP6V1E2	no
Adipose	M10	ATP6V1G1	no
Adipose	M10	ATP9A	no
Adipose	M10	ATPBD1B	no
Adipose	M10	ATPIF1	no
Adipose	M10	ATXN3	no
Adipose	M10	ATXN7L1	no
Adipose	M10	AVEN	no
Adipose	M10	B3GAT1	no
Adipose	M10	B4GALT6	no
Adipose	M10	BACE1	no
Adipose	M10	BAHD1	no
Adipose	M10	BAIAP2L2	no
Adipose	M10	BANK1	no
Adipose	M10	BANP	no
Adipose	M10	BATF2	no
Adipose	M10	BBS9	no
Adipose	M10	BCAS2	no
Adipose	M10	BCHE	no
Adipose	M10	BCL2L2	no
Adipose	M10	BCYRN1	no
Adipose	M10	BDH2	no
Adipose	M10	BDNFOS	no
Adipose	M10	BEX4	no
Adipose	M10	BEXL1	no
Adipose	M10	BGLAP	no
Adipose	M10	BIRC2	no
Adipose	M10	BLVRA	no
Adipose	M10	BNIP1	no
Adipose	M10	BNIP3	no
Adipose	M10	BOLA2	no
Adipose	M10	BRCA1	no
Adipose	M10	BRD7P2	no
Adipose	M10	BRI3P1	no
